Origin_airport,Destination_airport,Numtimes,Passengers,Seats,Flights,Distance,Origin_population,Destination_population
ORD,CHA,26,18972,35979,727,501,19031272,520089
MDW,CHA,1,47,70,1,486,19031272,520089
BMI,CHA,3,132,150,3,427,165571,520089
ORD,GFK,1,66,66,1,613,19031272,97261
MWA,GFK,1,133,173,1,816,64605,97261
MDW,GTF,1,51,199,1,1223,19031272,82022
ORD,GTF,3,1014,1452,22,1210,19031272,82022
ORD,IDA,1,111,120,1,1229,19031272,123123
ORD,MCI,134,394545,516114,4139,403,19031272,2046083
MDW,MKC,3,152,424,3,404,19031272,2046083
MDW,MCI,37,389448,518796,3839,405,19031272,2046083
ORD,LIT,34,81876,104731,1736,552,19031272,675921
MDW,LIT,29,40262,51395,382,544,19031272,675921
MDW,LAX,20,246480,322225,2353,1750,19031272,25536790
ORD,LAX,116,1042732,1201852,6879,1745,19031272,25536790
CMI,MSP,3,280,334,4,419,223998,3237612
PIA,MSP,12,19017,34170,1005,342,372638,3237612
ORD,MSP,170,890438,1216709,9854,334,19031272,3237612
MDW,MSP,67,181951,277510,2684,349,19031272,3237612
ORD,MSY,54,170201,225051,1904,837,19031272,1168547
MDW,MSY,20,35202,52873,386,825,19031272,1168547
RFD,NBG,1,81,200,1,855,353381,1168547
RFD,PGD,1,364,366,3,1127,353381,157736
RFD,SKF,2,235,500,2,1030,353381,2030691
MDW,SAT,27,60159,95305,696,1036,19031272,2030691
ORD,SAT,61,171551,214249,2076,1041,19031272,2030691
ORD,FSD,40,64190,88808,1670,462,19031272,233503
MWA,FSD,1,136,148,1,571,64605,233503
BMI,FSD,1,114,150,1,455,165571,233503
CMI,SPI,1,41,44,1,76,223998,207305
ORD,SPI,50,37637,71596,1438,174,19031272,207305
MDW,SPI,1,96,199,1,168,19031272,207305
BMI,SGF,1,46,50,1,328,165571,426125
MWA,SGF,1,41,50,1,243,64605,426125
ORD,SGF,60,75611,135371,2729,438,19031272,426125
ORD,TLH,2,94,100,2,822,19031272,357171
CMI,CID,3,194,273,3,220,223998,254911
ORD,CID,96,149321,236984,4410,196,19031272,254911
MDW,CID,1,27,74,1,204,19031272,254911
CMI,XNA,1,29,37,1,418,223998,455408
ORD,XNA,53,86060,169096,2953,522,19031272,455408
MDW,GRI,1,85,136,2,551,19031272,70400
ORD,GRR,147,184490,295584,4031,137,19031272,776505
CMI,GRR,1,28,50,1,243,223998,776505
PIA,IND,1,38,50,1,191,372638,1720796
ORD,IND,127,321060,415126,5753,177,19031272,1720796
MDW,IND,38,105313,181110,1322,162,19031272,1720796
RFD,IND,1,78,131,1,225,353381,1720796
CMI,IND,1,56,70,1,108,223998,1720796
RFD,NIP,1,105,420,2,922,353381,1316528
ORD,JAX,72,123392,151662,1802,865,19031272,1316528
MDW,JAX,4,582,828,6,849,19031272,1316528
ORD,LCH,2,204,207,2,869,19031272,192972
RFD,MYR,1,99,131,1,807,353381,258790
ORD,MYR,10,3394,5336,76,753,19031272,258790
MDW,MYR,1,39,50,1,738,19031272,258790
ORD,PHL,183,711182,911295,7024,678,19031272,11880992
MDW,PHL,39,222720,353214,2596,668,19031272,11880992
ORD,ACY,6,601,732,6,720,19031272,270609
MDW,ACY,3,279,486,4,710,19031272,270609
ORD,OKC,103,117429,149404,2659,693,19031272,1207519
MDW,OKC,2,79,318,2,691,19031272,1207519
PIA,OKC,1,39,50,1,564,372638,1207519
ORD,SFO,110,838438,972743,5392,1846,19031272,8520472
MDW,SFO,15,108330,146292,1071,1855,19031272,8520472
BMI,SFO,1,56,137,1,1799,165571,8520472
CMI,SCE,3,205,273,3,552,223998,145550
ORD,SCE,2,52,100,2,528,19031272,145550
ORD,TVC,64,73417,117490,2311,224,19031272,142319
PIA,SPS,1,34,50,1,668,372638,147607
ORD,SPS,4,465,490,4,797,19031272,147607
MDW,CRP,1,98,137,1,1112,19031272,413206
ORD,CRP,1,43,50,1,1119,19031272,413206
MDW,GJT,1,71,199,1,1107,19031272,141905
ORD,GJT,4,1013,1254,19,1100,19031272,141905
ORD,SLC,110,274531,333584,2815,1249,19031272,1111600
MDW,SLC,21,100441,136374,996,1258,19031272,1111600
ORD,CLL,1,50,50,1,915,19031272,207140
RFD,FLL,5,4740,5830,43,1222,353381,5501752
PIA,FLL,5,4226,5720,42,1145,372638,5501752
ORD,FLL,45,275248,316600,2140,1182,19031272,5501752
MDW,FLL,27,144709,218847,1599,1166,19031272,5501752
ORD,PBI,25,82664,94109,646,1144,19031272,5501752
ORD,COS,33,86494,98238,1486,911,19031272,616975
MDW,COS,2,181,280,2,917,19031272,616975
RFD,COS,3,287,410,3,854,353381,616975
